year,month,day,mean_wind_speed,rainfall,solar_radiation,evaporation,
2006,5,20,2.9,3.4,20.06,3.4,
2006,5,21,2.1,0.4,8.31,0.3,
2006,5,22,1.7,0.0,11.56,2.4,
2006,5,23,2.5,0.0,14.31,2.9,
2006,5,24,2.6,0.0,12.42,2.7,
2006,5,25,2.1,0.0,23.99,4.6,
2006,5,26,2.3,0.0,21.85,4.6,
2006,5,27,2.1,1.4,20.07,4.0,
2006,5,28,2.8,61.6,13.32,-1.1,
2006,5,29,2.2,1.6,19.87,2.3,
2006,5,30,2.1,32.6,16.40,2.0,
2006,5,31,2.7,3.8,20.75,2.8,
2006,6,1,2.2,0.0,17.71,4.1,
2006,6,2,2.5,-33.3,17.18,3.1,
2006,6,3,2.9,0.0,19.00,3.0,
2006,6,4,2.2,10.8,13.22,1.7,
2006,6,5,2.8,0.0,14.33,2.1,
2006,6,6,2.1,17.4,10.93,1.3,
2006,6,7,2.1,0.0,21.59,3.6,
2006,6,8,2.4,15.4,10.35,1.4,
2006,6,9,2.0,16.2,10.24,1.2,
2006,6,10,2.3,20.2,15.64,2.7,
2006,6,11,2.3,56.8,13.17,3.3,
2006,6,12,2.5,6.2,19.66,3.2,
2006,6,13,2.3,8.4,11.65,1.2,
2006,6,14,2.2,-33.3,17.76,2.3,
2006,6,15,1.9,0.0,18.02,3.3,
2006,6,16,2.2,18.0,16.89,2.2,
2006,6,17,2.2,7.2,17.65,2.7,
2006,6,18,2.1,2.6,13.04,2.1,
2006,6,19,1.9,1.6,12.14,1.7,
2006,6,20,2.1,1.2,13.47,2.2,
2006,6,21,2.0,-33.3,13.83,1.9,
2006,6,22,2.4,10.2,16.31,2.2,
2006,6,23,1.9,6.6,13.72,1.4,
2006,6,24,2.0,5.0,18.06,6.5,
2006,6,25,1.4,0.0,6.35,1.2,
2006,6,26,3.0,0.0,17.92,2.6,
2006,6,27,3.2,0.0,19.63,3.2,
2006,6,28,2.5,0.0,17.49,2.8,
2006,6,29,2.5,0.2,14.79,2.5,
2006,6,30,2.8,1.2,16.77,2.6,
2006,7,1,2.5,0.0,16.63,2.6,
2006,7,2,2.5,2.2,16.49,2.0,
2006,7,3,2.9,0.0,19.49,2.9,
2006,7,4,3.5,0.0,17.26,3.4,
2006,7,5,3.0,0.0,12.99,3.0,
2006,7,6,2.8,0.0,19.30,4.4,
2006,7,7,2.6,0.0,16.18,2.5,
2006,7,8,2.4,18.8,9.03,0.9,
2006,7,9,2.2,16.0,9.62,1.2,
2006,7,10,2.7,0.0,14.06,2.9,
2006,7,11,2.4,11.6,14.51,1.4,
2006,7,12,2.6,0.0,20.37,3.7,
2006,7,13,2.3,0.0,17.09,3.5,
2006,7,14,2.5,4.8,14.05,1.3,
2006,7,15,3.3,-33.3,15.82,3.0,
2006,7,16,2.9,0.0,15.89,2.6,
2006,7,17,2.7,22.6,17.03,3.7,
2006,7,18,2.8,0.0,17.47,3.7,
2006,7,19,2.4,0.2,18.87,3.0,
2006,7,20,2.3,0.0,20.30,3.5,
2006,7,21,3.0,6.6,13.67,2.5,
2006,7,22,2.1,15.0,12.76,1.2,
2006,7,23,2.2,2.2,14.74,1.8,
2006,7,24,2.5,0.2,13.10,2.2,
2006,7,25,2.5,0.0,14.62,2.5,
2006,7,26,3.5,0.0,22.07,4.2,
